Model,Vectorizer,Accuracy,Macro-F1
nb,count,0.6960212201591512,0.6666648596143541
nb,tfidf,0.7408488063660478,0.7123916874776537
lr,count,0.706366047745358,0.7006535631860543
lr,tfidf,0.753580901856764,0.7423010555446465
svm,count,0.6684350132625995,0.6616415589097311
svm,tfidf,0.7745358090185677,0.7668273683896958
rf,count,0.6748010610079576,0.6589530041595257
rf,tfidf,0.6843501326259946,0.6689466686303513
